id,url,title,genres,averageRating,numVotes,releaseYear
tt0057565,https://www.imdb.com/title/tt0057565/,"High and Low","[""Crime"", ""Drama"", ""Mystery""]",8.4,55561,1963
tt1313104,https://www.imdb.com/title/tt1313104/,"The Cove","[""Biography"", ""Crime"", ""Documentary""]",8.4,51807,2009
tt9900782,https://www.imdb.com/title/tt9900782/,Kaithi,"[""Action"", ""Crime"", ""Drama""]",8.4,44221,2019
tt21626284,https://www.imdb.com/title/tt21626284/,"Laapataa Ladies","[""Comedy"", ""Drama""]",8.4,42943,2023
tt12361178,https://www.imdb.com/title/tt12361178/,"Drishyam 2","[""Crime"", ""Drama"", ""Thriller""]",8.4,41813,2021
tt0770802,https://www.imdb.com/title/tt0770802/,Samsara,"[""Documentary"", ""Music""]",8.4,38500,2011
tt9477520,https://www.imdb.com/title/tt9477520/,Asuran,"[""Action"", ""Drama""]",8.4,34427,2019
tt3674140,https://www.imdb.com/title/tt3674140/,"The Salt of the Earth","[""Biography"", ""Documentary"", ""History""]",8.4,23907,2014
tt0416960,https://www.imdb.com/title/tt0416960/,"The Lizard","[""Comedy"", ""Drama""]",8.4,22932,2004
tt0400234,https://www.imdb.com/title/tt0400234/,"Black Friday","[""Action"", ""Crime"", ""Drama""]",8.4,22290,2004
tt4987556,https://www.imdb.com/title/tt4987556/,"Thani Oruvan","[""Action"", ""Crime"", ""Thriller""]",8.4,22035,2015
tt5959980,https://www.imdb.com/title/tt5959980/,"Vada Chennai","[""Action"", ""Crime"", ""Drama""]",8.4,20404,2018
tt0047445,https://www.imdb.com/title/tt0047445/,"Sansho the Bailiff","[""Drama""]",8.4,18596,1954
tt0052572,https://www.imdb.com/title/tt0052572/,"The World of Apu","[""Drama""]",8.4,17141,1959
tt7465992,https://www.imdb.com/title/tt7465992/,Mahanati,"[""Biography"", ""Drama""]",8.4,15188,2018
tt0059550,https://www.imdb.com/title/tt0059550/,"Operation 'Y' & Other Shurik's Adventures","[""Comedy"", ""Crime"", ""Drama""]",8.4,15136,1965
tt5867800,https://www.imdb.com/title/tt5867800/,Aruvi,"[""Drama""]",8.4,14553,2016
tt0073000,https://www.imdb.com/title/tt0073000/,"The Pinchcliffe Grand Prix","[""Animation"", ""Comedy"", ""Family""]",8.4,14487,1975
tt0314067,https://www.imdb.com/title/tt0314067/,Philanthropy,"[""Comedy"", ""Drama""]",8.4,13986,2002
tt0252591,https://www.imdb.com/title/tt0252591/,"King of the Doormen","[""Comedy""]",8.4,13887,1976
tt27051027,https://www.imdb.com/title/tt27051027/,"Love Li","[""Drama"", ""Romance""]",8.4,12937,2024
tt4991384,https://www.imdb.com/title/tt4991384/,Visaaranai,"[""Crime"", ""Drama"", ""Thriller""]",8.4,12433,2015
tt12415546,https://www.imdb.com/title/tt12415546/,"Attack on Titan: Chronicle","[""Action"", ""Adventure"", ""Animation""]",8.4,11978,2020
tt0184756,https://www.imdb.com/title/tt0184756/,"Mr. Muhsin","[""Comedy"", ""Drama"", ""Music""]",8.4,11968,1987
tt0383846,https://www.imdb.com/title/tt0383846/,"When I Grow Up, I'll Be a Kangaroo","[""Comedy""]",8.4,11699,2004
tt0169547,https://www.imdb.com/title/tt0169547/,"American Beauty","[""Drama""]",8.3,1226060,1999
tt1049413,https://www.imdb.com/title/tt1049413/,Up,"[""Adventure"", ""Animation"", ""Comedy""]",8.3,1148464,2009
tt0086190,https://www.imdb.com/title/tt0086190/,"Star Wars: Episode VI - Return of the Jedi","[""Action"", ""Adventure"", ""Fantasy""]",8.3,1139463,1983
tt0105236,https://www.imdb.com/title/tt0105236/,"Reservoir Dogs","[""Crime"", ""Thriller""]",8.3,1107337,1992
tt0112573,https://www.imdb.com/title/tt0112573/,Braveheart,"[""Biography"", ""Drama"", ""War""]",8.3,1106412,1995
tt0338013,https://www.imdb.com/title/tt0338013/,"Eternal Sunshine of the Spotless Mind","[""Drama"", ""Romance"", ""Sci-Fi""]",8.3,1098375,2004
tt0119217,https://www.imdb.com/title/tt0119217/,"Good Will Hunting","[""Drama"", ""Romance""]",8.3,1096361,1997
tt0114709,https://www.imdb.com/title/tt0114709/,"Toy Story","[""Adventure"", ""Animation"", ""Comedy""]",8.3,1089623,1995
tt0086250,https://www.imdb.com/title/tt0086250/,Scarface,"[""Crime"", ""Drama""]",8.3,935865,1983
tt0180093,https://www.imdb.com/title/tt0180093/,"Requiem for a Dream","[""Drama""]",8.3,915461,2000
tt0435761,https://www.imdb.com/title/tt0435761/,"Toy Story 3","[""Adventure"", ""Animation"", ""Comedy""]",8.3,907836,2010
tt0211915,https://www.imdb.com/title/tt0211915/,Amélie,"[""Comedy"", ""Romance""]",8.3,804407,2001
tt15398776,https://www.imdb.com/title/tt15398776/,Oppenheimer,"[""Biography"", ""Drama"", ""History""]",8.3,803522,2023
tt0113277,https://www.imdb.com/title/tt0113277/,Heat,"[""Action"", ""Crime"", ""Drama""]",8.3,733327,1995
tt0062622,https://www.imdb.com/title/tt0062622/,"2001: A Space Odyssey","[""Adventure"", ""Sci-Fi""]",8.3,732658,1968
tt0364569,https://www.imdb.com/title/tt0364569/,Oldboy,"[""Action"", ""Drama"", ""Mystery""]",8.3,652301,2003
tt0057012,https://www.imdb.com/title/tt0057012/,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","[""Comedy"", ""War""]",8.3,526172,1964
tt0033467,https://www.imdb.com/title/tt0033467/,"Citizen Kane","[""Drama"", ""Mystery""]",8.3,471905,1941
tt0119698,https://www.imdb.com/title/tt0119698/,"Princess Mononoke","[""Action"", ""Adventure"", ""Animation""]",8.3,444090,1997
tt0052357,https://www.imdb.com/title/tt0052357/,Vertigo,"[""Mystery"", ""Romance"", ""Thriller""]",8.3,434957,1958
tt0087843,https://www.imdb.com/title/tt0087843/,"Once Upon a Time in America","[""Crime"", ""Drama""]",8.3,384044,1984
tt2106476,https://www.imdb.com/title/tt2106476/,"The Hunt","[""Drama""]",8.3,373161,2012
tt0053125,https://www.imdb.com/title/tt0053125/,"North by Northwest","[""Action"", ""Adventure"", ""Mystery""]",8.3,351324,1959
tt0056592,https://www.imdb.com/title/tt0056592/,"To Kill a Mockingbird","[""Crime"", ""Drama""]",8.3,337207,1962
tt0056172,https://www.imdb.com/title/tt0056172/,"Lawrence of Arabia","[""Adventure"", ""Biography"", ""Drama""]",8.3,320496,1962
tt0070735,https://www.imdb.com/title/tt0070735/,"The Sting","[""Comedy"", ""Crime"", ""Drama""]",8.3,283748,1973
tt0045152,https://www.imdb.com/title/tt0045152/,"Singin' in the Rain","[""Comedy"", ""Musical"", ""Romance""]",8.3,265362,1952
tt1832382,https://www.imdb.com/title/tt1832382/,"A Separation","[""Drama""]",8.3,262447,2011
tt5074352,https://www.imdb.com/title/tt5074352/,Dangal,"[""Action"", ""Biography"", ""Drama""]",8.3,216812,2016
tt1255953,https://www.imdb.com/title/tt1255953/,Incendies,"[""Drama"", ""Mystery"", ""War""]",8.3,211117,2010
tt0986264,https://www.imdb.com/title/tt0986264/,"Like Stars on Earth","[""Drama"", ""Family""]",8.3,210862,2007
tt0053604,https://www.imdb.com/title/tt0053604/,"The Apartment","[""Comedy"", ""Drama"", ""Romance""]",8.3,200825,1960
tt0017136,https://www.imdb.com/title/tt0017136/,Metropolis,"[""Drama"", ""Sci-Fi""]",8.3,188718,1927
tt0040522,https://www.imdb.com/title/tt0040522/,"Bicycle Thieves","[""Drama""]",8.3,178455,1948
tt0022100,https://www.imdb.com/title/tt0022100/,M,"[""Crime"", ""Mystery"", ""Thriller""]",8.3,171503,1931
tt0036775,https://www.imdb.com/title/tt0036775/,"Double Indemnity","[""Crime"", ""Drama"", ""Film-Noir""]",8.3,170114,1944
tt8110330,https://www.imdb.com/title/tt8110330/,"Dil Bechara","[""Comedy"", ""Drama"", ""Romance""]",8.3,135473,2020
tt10295212,https://www.imdb.com/title/tt10295212/,Shershaah,"[""Action"", ""Biography"", ""Drama""]",8.3,130933,2021
tt8503618,https://www.imdb.com/title/tt8503618/,Hamilton,"[""Biography"", ""Drama"", ""History""]",8.3,118534,2020
tt0044741,https://www.imdb.com/title/tt0044741/,Ikiru,"[""Drama""]",8.3,90116,1952
tt0055031,https://www.imdb.com/title/tt0055031/,"Judgment at Nuremberg","[""Drama"", ""War""]",8.3,87340,1961
tt9179430,https://www.imdb.com/title/tt9179430/,Vikram,"[""Action"", ""Crime"", ""Drama""]",8.3,77243,2022
tt9052870,https://www.imdb.com/title/tt9052870/,Chhichhore,"[""Comedy"", ""Drama"", ""Romance""]",8.3,65604,2019
tt7060344,https://www.imdb.com/title/tt7060344/,Raatchasan,"[""Action"", ""Crime"", ""Drama""]",8.3,52039,2018
tt10280296,https://www.imdb.com/title/tt10280296/,"Sardar Udham","[""Biography"", ""Crime"", ""Drama""]",8.3,48106,2021
tt3417422,https://www.imdb.com/title/tt3417422/,Drishyam,"[""Crime"", ""Drama"", ""Thriller""]",8.3,44837,2013
tt0019760,https://www.imdb.com/title/tt0019760/,"Man with a Movie Camera","[""Documentary""]",8.3,28522,1929
tt0110057,https://www.imdb.com/title/tt0110057/,"Hoop Dreams","[""Documentary"", ""Drama"", ""Sport""]",8.3,28359,1994
